epName,true_slack,pred_slack,diff_slack,true_arr,pred_arr,diff_arr,required,spName,riseFall
text_in_r_reg[89]/D,156.40084838867188,156.40084838867188,0.0,107.41604614257812,107.41604614257812,0.0,263.81689453125,text_in_r_reg[89]/CLK,rise
u0_w_reg[2][0]/D,-136.33538818359375,-136.33538818359375,0.0,569.9296875,569.9296264648438,6.103515625e-05,433.59423828125,u0_w_reg[3][29]/CLK,fall
u0_w_reg[0][2]/D,-64.16424560546875,-64.16424560546875,0.0,541.245849609375,541.245849609375,0.0,477.08160400390625,u0_w_reg[3][25]/CLK,rise
sa33_reg[2]/D,-205.91705322265625,-205.91705322265625,0.0,579.8798828125,579.8798828125,0.0,373.96282958984375,sa10_reg[1]/CLK,fall
text_out_reg[122]/D,11.12261962890625,11.12261962890625,0.0,545.3154296875,545.3154907226562,-6.103515625e-05,556.4381103515625,sa00_reg[1]/CLK,rise
text_in_r_reg[19]/D,137.92141723632812,137.92141723632812,0.0,486.23687744140625,486.2369079589844,-3.0517578125e-05,624.1583251953125,text_in_r_reg[19]/CLK,rise
text_in_r_reg[52]/D,130.57061767578125,130.57061767578125,0.0,422.48883056640625,422.48883056640625,0.0,553.0594482421875,text_in_r_reg[52]/CLK,rise
u0_w_reg[2][9]/D,-93.69964599609375,-93.69964599609375,0.0,552.5685424804688,552.5685424804688,0.0,458.868896484375,u0_w_reg[3][3]/CLK,fall
text_in_r_reg[25]/D,173.84445190429688,173.84445190429688,0.0,83.22705078125,83.22705841064453,-7.62939453125e-06,257.0715026855469,text_in_r_reg[25]/CLK,rise
u0_w_reg[2][30]/D,-135.18618774414062,-135.18618774414062,0.0,577.346923828125,577.3468017578125,0.0001220703125,442.1606140136719,u0_w_reg[3][23]/CLK,rise
text_in_r_reg[61]/D,143.52227783203125,143.52227783203125,0.0,471.88751220703125,471.88751220703125,0.0,615.4097900390625,text_in_r_reg[61]/CLK,rise
sa01_reg[1]/D,32.96728515625,32.96728515625,0.0,487.4499206542969,487.449951171875,-3.0517578125e-05,520.417236328125,u0_w_reg[1][25]/CLK,rise
sa23_reg[4]/D,-49.561981201171875,-49.561981201171875,0.0,418.0808410644531,418.0808410644531,0.0,368.51885986328125,text_in_r_reg[12]/CLK,rise
sa33_reg[3]/D,-68.79638671875,-68.79638671875,0.0,499.515869140625,499.515869140625,0.0,430.719482421875,text_in_r_reg[3]/CLK,rise
u0_w_reg[2][28]/D,-143.18081665039062,-143.18081665039062,0.0,577.6448974609375,577.64501953125,-0.0001220703125,434.4642028808594,u0_w_reg[3][16]/CLK,fall
u0_r0_rcnt_reg[2]/D,10.2418212890625,10.2418212890625,0.0,563.8521728515625,563.8521728515625,0.0,574.093994140625,u0_r0_rcnt_reg[0]/CLK,rise
text_in_r_reg[48]/D,130.25302124023438,130.25302124023438,0.0,421.5265808105469,421.5265808105469,0.0,551.7796020507812,text_in_r_reg[48]/CLK,rise
text_in_r_reg[34]/D,137.17721557617188,137.17721557617188,0.0,486.72454833984375,486.7245788574219,-3.0517578125e-05,623.9017944335938,text_in_r_reg[34]/CLK,rise
text_in_r_reg[3]/D,133.15078735351562,133.15078735351562,0.0,491.5575866699219,491.5575866699219,0.0,624.7083740234375,text_in_r_reg[3]/CLK,rise
text_in_r_reg[81]/D,159.56124877929688,159.56124877929688,0.0,103.22380828857422,103.22380828857422,0.0,262.7850646972656,text_in_r_reg[81]/CLK,rise
text_out_reg[73]/D,-102.46438598632812,-102.46438598632812,0.0,388.9214172363281,388.9214172363281,0.0,286.45703125,sa23_reg[0]/CLK,rise
text_out_reg[68]/D,-10.3197021484375,-10.3197021484375,0.0,548.9325561523438,548.9324951171875,6.103515625e-05,538.61279296875,sa30_reg[7]/CLK,rise
sa12_reg[6]/D,22.7928466796875,22.7928466796875,0.0,474.1573181152344,474.15728759765625,3.0517578125e-05,496.95013427734375,text_in_r_reg[54]/CLK,rise
sa03_reg[4]/D,-93.88787841796875,-93.88787841796875,0.0,488.63421630859375,488.63421630859375,0.0,394.746337890625,text_in_r_reg[28]/CLK,rise
u0_r0_rcnt_reg[0]/D,135.53439331054688,135.53439331054688,0.0,494.4786376953125,494.4786682128906,-3.0517578125e-05,630.0130615234375,u0_r0_rcnt_reg[0]/CLK,rise
